"","FIPS","PM.25","CMR","civil_unemploy_diff","median_HH_inc_diff","femaleHH_ns_pct_diff","vacant_HHunit_diff","owner_occ_pct_diff","eduattain_HS_diff","pctfam_pover_diff","healthfac_2005_1999","population_2000","CMR.1990"
"1",1001,8.26737085961197,0.671765784137289,-0.399999999999999,24918,-1.42472371,1.484071631,-4.3,-34.8,-4.52465524,0.366375856,43671,471.758887787074
"2",1003,6.75397076354849,0.68413397247135,1.3,24435,-2.10446308,2.43084248,-5.90000000000001,-43.3,-1.33878273,0.648078909,140415,403.981094613944
"3",1005,7.28290668384993,0.683823922806008,1.7,13830,-2.90076267,3.10929472,-3.60000000000001,-20.2,-0.120793110000001,0.1033129,29038,566.01104960372
"4",1009,9.74728742318701,0.550082928096976,1.1,23167,-0.253663978000001,2.442241925,-1.2,-24.1,-1.37939892,0.117591722,51024,507.961824497671
"5",1011,8.13303594822055,0.655308188004605,-1.4,16857,-9.29882006,1.54840736,-3.3,-12.4,-8.79792899,0.085367936,11714,552.55837819727
"6",1013,7.01840155963432,0.774255703421529,-3.5,14605,-2.32875536,5.537564322,-2.60000000000001,-14.1,-4.88960328,0.140193467,21399,509.207865656176
"7",1015,8.88138163601237,0.7265435312413,4.5,14605,-1.65478277,3.136346331,-1.5,-32.9,3.51197456,-0.035635061,112249,487.260583562698
"8",1017,7.99285722307669,0.727428154917418,6.9,10211,-2.1251688,10.561435278,-5.40000000000001,-20,2.99099654,0.246015909,36583,504.354988741718
"9",1021,7.8876607059954,0.690173375393405,0.0999999999999996,17859,-1.0239521,1.35779731,-4.60000000000001,-16.1,1.32496531,-0.985022605,39593,447.489915328229
"10",1023,6.68740657213207,0.708189813638831,0.4,13961,-3.46733132,3.95164236,-1.8,-15,-9.60410023,0.502449441,15922,501.32372114051
"11",1025,6.76644310153422,0.858531578303052,1.7,8372,-2.02169077,5.78868516,-2.19999999999999,-18.2,1.61267916,-0.179423691,27867,406.421922328766
"12",1027,7.81234079611352,0.791387670638518,3.7,16343,-0.246916179999999,5.51184023,-0.399999999999991,-15,4.51864181,0,14254,414.998419442537
"13",1031,7.61098539904392,0.802764939633653,1.1,18348,-1.26594641,1.124187364,-3.40000000000001,-39,2.42228455,0.229278918,43615,408.417750966357
"14",1033,8.78355325922797,0.610569863104384,-0.799999999999999,17232,-1.29934098,3.732770952,-2.5,-30.9,1.14564506,0.163683981,54984,561.929025083486
"15",1039,7.42928327672543,0.77778849346616,1.1,15458,-2.4527974,6.78174064,-1.8,-20,-0.842927850000002,0.372033696,37631,368.826346050901
"16",1043,9.74996108370767,0.899213182091736,0.7,16895,-0.10966608,4.256970637,-2.8,-25.2,0.73793794,0.090342398,77483,419.408826486175
"17",1045,7.68645637873041,0.837629390965896,1.9,19262,-0.78923054,1.938452038,0.5,-44.5,0.478344480000001,-0.081418307,49129,376.314067840628
"18",1047,7.37669680762216,0.833146289260451,2.9,9536,-5.45926463,5.03554739,0.199999999999996,-23,-4.09767721,0.043135986,46365,476.045340344725
"19",1049,9.40545264070751,0.680455705933838,1.1,14930,-0.936125260000001,5.107646366,-3,-19.2,1.7996182,0.155154223,64452,576.896303611322
"20",1051,8.13317453371765,0.822642638767509,1.9,26787,-1.2,-1.90746782,-3,-31.3,-1.98644055,0.030360992,65874,434.251909448706
"21",1053,7.64301569117712,0.633974357510893,1.6,13455,-2.06467866,3.95093341,-3.80000000000001,-24.6,-1.44560669,0.078043704,38440,524.033136349868
"22",1055,9.23904630373745,0.749811828258196,-1,14108,-1.697901,3.95270778,-1.8,-30.9,-0.134213750000001,0.106322311,103459,499.743027358486
"23",1059,8.04525124681574,0.7527297542235,-3.3,16035,0.35732484,4.567855929,-5.3,-22.9,-2.28961486,-1.825577299,31223,547.593014456333
"24",1061,8.2542716434673,0.669281115066425,2.8,14113,0.0394468700000008,2.52327189,-3.3,-17.9,-1.99116501,1.319670859,25764,460.912122650574
"25",1065,7.32431175120373,0.639867989658537,6.3,14791,-5.96673362,2.82527473,-2,-20.2,-7.07428004,0.698283387,17185,622.244672046119
"26",1067,7.53663545965539,0.80054381802007,6,16249,-3.43240741,3.06020408,0,-20.6,1.88600556,0.061312078,16310,401.145120532047
"27",1069,8.0743324077749,0.792841844698874,2.2,16209,-1.90588651,2.514809013,-1.89999999999999,-35.1,-0.138103560000001,0.473042225,88787,380.958323525838
"28",1071,8.78025326485998,0.64100670813879,-1.8,14402,-0.636471759999999,4.357426143,-1,-21.7,1.49305664,0.111263583,53926,570.98113442975
"29",1073,10.8254412302274,0.678660497349294,3.6,19386,-3.98734121,4.384131279,-0.299999999999997,-45.7,-1.26233401,0.096669874,662047,403.497117328078
"30",1075,7.71260550934324,0.978440298591599,1.7,13269,-1.05514184,7.751095663,-2.39999999999999,-11.4,-1.22841287,0,15904,371.618048808315
"31",1077,9.20878257234723,0.652462182844216,1.6,15655,-1.35482017,3.893186564,-3.80000000000001,-33.9,1.81627502,0.522929314,87966,408.923684746674
"32",1079,9.03173874247377,0.711122870833247,0.4,18997,-0.56430469,3.732689158,-0.399999999999991,-16.4,-6.188433,0.77579519,34803,437.212617518878
