"","FIPS","PM2.5","CMR","civil_unemploy_2000","median_HH_inc_2000","femaleHH_ns_pct_2000","vacant_HHunit_2000","owner_occ_pct_2000","eduattain_HS_2000","healthfac_2005","pctfam_pover_2000","healthfac_1999","population_2000","civil_unemploy_1990","median_HH_inc_1990","femaleHH_ns_pct_1990","vacant_HHunit_1990","owner_occ_pct_1990","eduattain_HS_1990","pctfam_pover_1990","CMR.1990"
"1",1001,8.26737085961197,-154.847408609055,3.1,42013,13.1,9.4,80.8,33.8,1.465503423,8.2,1.099127567,43671,6.6,28337,15.12472371,7.115928369,79.7,70,12.02465524,471.758887787074
"2",1003,6.75397076354849,-127.603903552382,2.6,40250,10.2,25.5,79.5,29.6,2.428515472,7.6,1.780436563,140415,5.3,25712,13.20446308,27.26915752,78.4,73.2,10.43878273,403.981094613944
"3",1005,7.28290668384993,-178.959153312158,2.7,25101,19.1,16.5,73.1,32.4,1.515255872,21.6,1.411942971,29038,7.9,19389,22.70076267,13.89070528,70.4,55.6,20.02079311,566.01104960372
"4",1009,9.74728742318701,-228.54069671651,2.9,35241,7.9,8.9,83.4,36,0.76434619,8.6,0.646754468,51024,6.4,22382,9.953663978,7.257758075,81.8,60.5,11.37939892,507.961824497671
"5",1011,8.13303594822055,-190.462348614054,3.6,20605,28.2,15.7,74.5,35.2,1.365886973,29.8,1.280519037,11714,12.6,14745,36.09882006,15.05159264,72.1,49,31.39792899,552.55837819727
"6",1013,7.01840155963432,-114.950771444778,5.8,24791,18.2,15.7,76.2,34.5,1.962708538,20.4,1.822515071,21399,13,16054,22.12875536,9.262435678,72.9,52.8,24.58960328,509.207865656176
"7",1015,8.88138163601237,-133.244558546359,3.8,31768,13.4,11.7,72.5,32.2,2.27173516,12.4,2.307370222,112249,7.2,23802,16.85478277,8.063653669,70.3,67.4,11.68802544,487.260583562698
"8",1017,7.99285722307669,-137.472969857935,3.8,29667,17.4,10.7,75.7,32.1,1.776781565,14.3,1.530765656,36583,7.3,21256,21.2251688,7.538564722,76,54.3,13.40900346,504.354988741718
"9",1021,7.8876607059954,-138.644290011636,2.6,32588,10.5,13.4,82.3,35.8,0,12.6,0.985022605,39593,9,21627,13.0239521,12.74220269,81.2,56.6,13.07503469,447.489915328229
"10",1023,6.68740657213207,-146.291368493287,4.3,24749,16,18.8,86.3,34.7,1.632960683,20.7,1.130511242,15922,12.7,17115,19.26733132,15.34835764,84.8,54.3,23.80410023,501.32372114051
"11",1025,6.76644310153422,-57.49586789489,4.8,27388,15.7,16.3,81.2,37.7,1.722467435,18.1,1.901891126,27867,8.3,19067,19.52169077,12.41131484,79.6,60.3,19.48732084,406.421922328766
"12",1027,7.81234079611352,-86.573786961241,3.1,27885,10.5,12.8,77.2,37.8,0,12.9,0,14254,7.2,19252,13.04691618,10.78815977,75.6,53.8,13.98135819,414.998419442537
"13",1031,7.61098539904392,-80.554299766537,3.2,33664,12.1,12.2,71.4,26.2,1.948870801,11.3,1.719591884,43615,6.4,23905,14.16594641,9.975812636,70.9,67.2,11.67771545,408.417750966357
"14",1033,8.78355325922797,-218.832097163882,2.9,31954,12.1,10.1,75.7,33.9,2.164265968,11.1,2.000581987,54984,8.2,22378,14.99934098,7.867229048,75.3,65.2,11.05435494,561.929025083486
"15",1039,7.42928327672543,-81.957458005342,4.2,26336,11.3,15.8,77.7,33,2.338497515,14.1,1.96646382,37631,7.8,18394,15.5527974,10.71825936,75.7,57.3,16.54292785,368.826346050901
