"","FIPS","PM2.5","CMR","civil_unemploy_1990","median_HH_inc_1990","femaleHH_ns_pct_1990","vacant_HHunit_1990","owner_occ_pct_1990","eduattain_HS_1990","pctfam_pover_1990"
"1",1001,7.98253334962569,376.166773518412,6.6,28337,15.12472371,7.115928369,79.7,70,12.02465524
"2",1003,6.65776981911712,304.727323701126,5.3,25712,13.20446308,27.26915752,78.4,73.2,10.43878273
"3",1005,7.29042265314134,341.878529278754,7.9,19389,22.70076267,13.89070528,70.4,55.6,20.02079311
"4",1009,8.90970345262064,348.719599279198,6.4,22382,9.953663978,7.257758075,81.8,60.5,11.37939892
"5",1011,8.12292996415423,376.451830256409,12.6,14745,36.09882006,15.05159264,72.1,49,31.39792899
"6",1013,6.9811738290717,426.72593420997,13,16054,22.12875536,9.262435678,72.9,52.8,24.58960328
"7",1015,8.28995835675242,407.30841656037,7.2,23802,16.85478277,8.063653669,70.3,67.4,11.68802544
"8",1017,7.73681597387406,401.968200399885,7.3,21256,21.2251688,7.538564722,76,54.3,13.40900346
"9",1021,7.62906900013065,373.62514429845,9,21627,13.0239521,12.74220269,81.2,56.6,13.07503469
"10",1023,7.20622739673202,368.923330729095,12.7,17115,19.26733132,15.34835764,84.8,54.3,23.80410023
"11",1025,6.85968285066544,317.326082299361,8.3,19067,19.52169077,12.41131484,79.6,60.3,19.48732084
"12",1027,7.48753639758511,400.080214267685,7.2,19252,13.04691618,10.78815977,75.6,53.8,13.98135819
"13",1031,7.67516590473369,300.967341331355,6.4,23905,14.16594641,9.975812636,70.9,67.2,11.67771545
"14",1033,7.94402398105445,338.436145273349,8.2,22378,14.99934098,7.867229048,75.3,65.2,11.05435494
"15",1039,7.63880495235405,341.062015843554,7.8,18394,15.5527974,10.71825936,75.7,57.3,16.54292785
"16",1043,8.82798889272386,408.640675896549,7.1,21672,10.50966608,9.743029363,77.8,58.8,12.06206206
"17",1045,7.71049297279574,308.118501890213,5.7,24091,15.38923054,9.561547962,61,74.2,10.92165552
"18",1047,7.19659120360801,508.562400001936,12.3,16493,32.55926463,10.56445261,62.2,59.6,31.39767721
